id,frame,big/small,dynamic/static,press/tap,dangeours/safe,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,shape,pressure,velocity
0,0,0,0,0,0,3.887556574200276e-13,6.024715631785265e-12,8.894484519437049e-11,1.2209269256663694e-09,1.466652646345163e-08,9.381261199155565e-08,-4.5279709195446555e-08,-5.715393815839359e-07,9.520667484418374e-13,1.6296200418216338e-11,2.74218160280528e-10,4.493140657051138e-09,6.292906308293359e-08,-3.815521510932087e-05,-0.006695773673951804,-0.03571247765881048,1.6793579342752217e-12,3.057714036488252e-11,5.570919102973332e-10,1.0136256234975704e-08,1.3662953930203056e-07,-0.000477770420544871,-2.872718664648825,-480.4480065916153,2.15936744066496e-12,4.0229131311373364e-11,7.560225826229809e-10,1.4392141607086276e-08,1.7136183938152658e-07,-0.0015848458678373104,-19.851284960263133,-720.6817950865477,2.028285472887375e-12,3.70907901367537e-11,6.803083011435193e-10,1.251641088078296e-08,1.7133435167306661e-07,-0.0006879366579791018,-5.71640270288244,-720.6452256506909,1.3952234514276709e-12,2.4042421319434195e-11,4.081291495330519e-10,6.755883959069437e-09,9.457609784993122e-08,-7.624530008335709e-05,-0.01014855459790652,-0.0535875691686388,7.037834332426804e-13,1.0976691395524312e-11,1.6364697203769034e-10,2.273327427526279e-09,2.7386245749158088e-08,1.8183513245226426e-07,-7.450209689687234e-08,-9.200284155051385e-07,2.5799890704148874e-13,3.491204812797158e-12,4.291703237747937e-11,4.500262811869184e-10,3.3788833959485662e-09,6.975883317963084e-09,-3.2700090681045948e-09,-1.285730950236299e-08,circle_no_blur_small.png,185.11933971385727,0.0
0,1,0,0,0,0,3.887556574200276e-14,6.024715631785266e-13,8.89448451943705e-12,1.2209269256663694e-10,1.466652646345163e-09,9.381261199155566e-09,-4.527970919544656e-09,-5.7153938158393596e-08,9.520667484418374e-14,1.6296200418216339e-12,2.7421816028052802e-11,4.4931406570511376e-10,6.2929063082933596e-09,-3.815521510932087e-06,-0.0006695773673951804,-0.003571247765881048,1.6793579342752218e-13,3.0577140364882525e-12,5.570919102973332e-11,1.0136256234975703e-09,1.3662953930203056e-08,-4.7777042054487104e-05,-0.2872718664648825,-48.04480065916153,2.15936744066496e-13,4.022913131137337e-12,7.56022582622981e-11,1.4392141607086276e-09,1.713618393815266e-08,-0.00015848458678373106,-1.9851284960263134,-72.06817950865478,2.028285472887375e-13,3.70907901367537e-12,6.803083011435193e-11,1.251641088078296e-09,1.713343516730666e-08,-6.879366579791018e-05,-0.571640270288244,-72.0645225650691,1.395223451427671e-13,2.4042421319434198e-12,4.081291495330519e-11,6.755883959069437e-10,9.457609784993123e-09,-7.624530008335709e-06,-0.001014855459790652,-0.00535875691686388,7.037834332426805e-14,1.0976691395524312e-12,1.6364697203769035e-11,2.2733274275262793e-10,2.738624574915809e-09,1.8183513245226427e-08,-7.4502096896872345e-09,-9.200284155051386e-08,2.5799890704148877e-14,3.491204812797158e-13,4.291703237747937e-12,4.500262811869184e-11,3.3788833959485666e-10,6.975883317963084e-10,-3.270009068104595e-10,-1.2857309502362992e-09,circle_no_blur_small.png,185.11933971385727,0.0
0,2,0,0,0,0,3.887556574200276e-15,6.024715631785266e-14,8.89448451943705e-13,1.2209269256663695e-11,1.4666526463451632e-10,9.381261199155567e-10,-4.527970919544656e-10,-5.71539381583936e-09,9.520667484418375e-15,1.629620041821634e-13,2.7421816028052805e-12,4.493140657051138e-11,6.29290630829336e-10,-3.8155215109320877e-07,-6.695773673951804e-05,-0.0003571247765881048,1.679357934275222e-14,3.0577140364882527e-13,5.570919102973333e-12,1.0136256234975704e-10,1.3662953930203057e-09,-4.7777042054487105e-06,-0.028727186646488254,-4.804480065916153,2.15936744066496e-14,4.0229131311373373e-13,7.56022582622981e-12,1.4392141607086278e-10,1.7136183938152661e-09,-1.5848458678373106e-05,-0.19851284960263135,-7.206817950865478,2.028285472887375e-14,3.7090790136753704e-13,6.803083011435193e-12,1.251641088078296e-10,1.7133435167306662e-09,-6.8793665797910175e-06,-0.05716402702882441,-7.2064522565069105,1.3952234514276711e-14,2.40424213194342e-13,4.081291495330519e-12,6.755883959069437e-11,9.457609784993123e-10,-7.624530008335709e-07,-0.0001014855459790652,-0.0005358756916863881,7.037834332426805e-15,1.0976691395524312e-13,1.6364697203769035e-12,2.2733274275262794e-11,2.738624574915809e-10,1.8183513245226428e-09,-7.450209689687235e-10,-9.200284155051387e-09,2.5799890704148877e-15,3.491204812797158e-14,4.291703237747937e-13,4.500262811869184e-12,3.378883395948567e-11,6.975883317963084e-11,-3.2700090681045956e-11,-1.2857309502362992e-10,circle_no_blur_small.png,185.11933971385727,0.0
0,3,0,0,0,0,3.887556574200276e-16,6.024715631785266e-15,8.894484519437051e-14,1.2209269256663695e-12,1.4666526463451633e-11,9.381261199155567e-11,-4.527970919544656e-11,-5.71539381583936e-10,9.520667484418375e-16,1.629620041821634e-14,2.7421816028052807e-13,4.493140657051138e-12,6.29290630829336e-11,-3.815521510932088e-08,-6.695773673951804e-06,-3.571247765881048e-05,1.679357934275222e-15,3.057714036488253e-14,5.570919102973333e-13,1.0136256234975704e-11,1.3662953930203057e-10,-4.777704205448711e-07,-0.0028727186646488254,-0.48044800659161535,2.15936744066496e-15,4.022913131137338e-14,7.560225826229811e-13,1.4392141607086279e-11,1.7136183938152661e-10,-1.5848458678373108e-06,-0.019851284960263137,-0.7206817950865478,2.0282854728873754e-15,3.709079013675371e-14,6.803083011435193e-13,1.2516410880782961e-11,1.7133435167306663e-10,-6.879366579791018e-07,-0.005716402702882441,-0.7206452256506911,1.3952234514276712e-15,2.40424213194342e-14,4.081291495330519e-13,6.7558839590694376e-12,9.457609784993123e-11,-7.62453000833571e-08,-1.0148554597906521e-05,-5.358756916863881e-05,7.037834332426805e-16,1.0976691395524313e-14,1.6364697203769036e-13,2.2733274275262796e-12,2.7386245749158093e-11,1.8183513245226428e-10,-7.450209689687236e-11,-9.200284155051388e-10,2.579989070414888e-16,3.4912048127971583e-15,4.291703237747937e-14,4.5002628118691847e-13,3.378883395948567e-12,6.975883317963085e-12,-3.2700090681045957e-12,-1.2857309502362992e-11,circle_no_blur_small.png,185.11933971385727,0.0
0,4,0,0,0,0,3.8875565742002765e-17,6.024715631785267e-16,8.894484519437051e-15,1.2209269256663695e-13,1.4666526463451634e-12,9.381261199155567e-12,-4.527970919544657e-12,-5.71539381583936e-11,9.520667484418376e-17,1.6296200418216343e-15,2.7421816028052808e-14,4.493140657051138e-13,6.2929063082933605e-12,-3.815521510932088e-09,-6.695773673951804e-07,-3.5712477658810483e-06,1.679357934275222e-16,3.057714036488253e-15,5.570919102973334e-14,1.0136256234975705e-12,1.3662953930203058e-11,-4.7777042054487107e-08,-0.00028727186646488256,-0.048044800659161536,2.15936744066496e-16,4.022913131137338e-15,7.560225826229812e-14,1.439214160708628e-12,1.713618393815266e-11,-1.584845867837311e-07,-0.001985128496026314,-0.07206817950865478,2.0282854728873755e-16,3.709079013675371e-15,6.803083011435193e-14,1.2516410880782961e-12,1.7133435167306664e-11,-6.879366579791019e-08,-0.0005716402702882441,-0.07206452256506911,1.3952234514276713e-16,2.40424213194342e-15,4.0812914953305194e-14,6.755883959069438e-13,9.457609784993123e-12,-7.62453000833571e-09,-1.0148554597906522e-06,-5.3587569168638815e-06,7.037834332426806e-17,1.0976691395524314e-15,1.6364697203769038e-14,2.2733274275262796e-13,2.7386245749158094e-12,1.818351324522643e-11,-7.450209689687236e-12,-9.200284155051389e-11,2.5799890704148882e-17,3.4912048127971585e-16,4.291703237747937e-15,4.500262811869185e-14,3.378883395948567e-13,6.975883317963085e-13,-3.270009068104596e-13,-1.2857309502362994e-12,circle_no_blur_small.png,185.11933971385727,0.0
0,5,0,0,0,0,3.8875565742002765e-18,6.024715631785267e-17,8.894484519437051e-16,1.2209269256663696e-14,1.4666526463451636e-13,9.381261199155568e-13,-4.5279709195446573e-13,-5.71539381583936e-12,9.520667484418376e-18,1.6296200418216344e-16,2.742181602805281e-15,4.493140657051138e-14,6.29290630829336e-13,-3.8155215109320883e-10,-6.695773673951804e-08,-3.5712477658810485e-07,1.6793579342752223e-17,3.057714036488253e-16,5.570919102973334e-15,1.0136256234975706e-13,1.3662953930203058e-12,-4.777704205448711e-09,-2.8727186646488258e-05,-0.004804480065916154,2.1593674406649603e-17,4.022913131137338e-16,7.560225826229811e-15,1.439214160708628e-13,1.7136183938152663e-12,-1.584845867837311e-08,-0.00019851284960263138,-0.007206817950865478,2.0282854728873755e-17,3.709079013675371e-16,6.803083011435193e-15,1.2516410880782963e-13,1.7133435167306666e-12,-6.879366579791019e-09,-5.716402702882442e-05,-0.0072064522565069115,1.3952234514276713e-17,2.40424213194342e-16,4.0812914953305195e-15,6.755883959069438e-14,9.457609784993124e-13,-7.624530008335711e-10,-1.0148554597906523e-07,-5.358756916863882e-07,7.037834332426807e-18,1.0976691395524314e-16,1.636469720376904e-15,2.2733274275262798e-14,2.7386245749158094e-13,1.818351324522643e-12,-7.450209689687237e-13,-9.200284155051389e-12,2.5799890704148885e-18,3.491204812797159e-17,4.291703237747937e-16,4.500262811869185e-15,3.378883395948567e-14,6.975883317963085e-14,-3.270009068104596e-14,-1.2857309502362994e-13,circle_no_blur_small.png,185.11933971385727,0.0
0,6,0,0,0,0,3.8875565742002766e-19,6.024715631785268e-18,8.894484519437052e-17,1.2209269256663696e-15,1.4666526463451635e-14,9.381261199155568e-14,-4.5279709195446574e-14,-5.715393815839361e-13,9.520667484418377e-19,1.6296200418216345e-17,2.742181602805281e-16,4.493140657051138e-15,6.29290630829336e-14,-3.8155215109320885e-11,-6.6957736739518044e-09,-3.5712477658810486e-08,1.6793579342752224e-18,3.057714036488253e-17,5.570919102973334e-16,1.0136256234975707e-14,1.366295393020306e-13,-4.777704205448711e-10,-2.872718664648826e-06,-0.00048044800659161546,2.1593674406649603e-18,4.0229131311373383e-17,7.560225826229812e-16,1.4392141607086282e-14,1.7136183938152665e-13,-1.5848458678373112e-09,-1.985128496026314e-05,-0.0007206817950865478,2.0282854728873757e-18,3.709079013675371e-17,6.803083011435194e-16,1.2516410880782963e-14,1.7133435167306667e-13,-6.879366579791019e-10,-5.716402702882442e-06,-0.0007206452256506912,1.3952234514276714e-18,2.4042421319434203e-17,4.0812914953305197e-16,6.755883959069438e-15,9.457609784993125e-14,-7.624530008335712e-11,-1.0148554597906524e-08,-5.358756916863882e-08,7.037834332426807e-19,1.0976691395524314e-17,1.636469720376904e-16,2.27332742752628e-15,2.7386245749158096e-14,1.818351324522643e-13,-7.450209689687237e-14,-9.200284155051388e-13,2.579989070414889e-19,3.491204812797159e-18,4.2917032377479376e-17,4.500262811869186e-16,3.3788833959485673e-15,6.975883317963085e-15,-3.270009068104596e-15,-1.2857309502362995e-14,circle_no_blur_small.png,185.11933971385727,0.0
0,7,0,0,0,0,3.8875565742002766e-20,6.024715631785269e-19,8.894484519437053e-18,1.2209269256663697e-16,1.4666526463451636e-15,9.381261199155569e-15,-4.5279709195446576e-15,-5.715393815839361e-14,9.520667484418378e-20,1.6296200418216346e-18,2.742181602805281e-17,4.493140657051138e-16,6.292906308293361e-15,-3.815521510932088e-12,-6.695773673951805e-10,-3.5712477658810486e-09,1.6793579342752224e-19,3.0577140364882535e-18,5.570919102973334e-17,1.0136256234975707e-15,1.366295393020306e-14,-4.777704205448711e-11,-2.872718664648826e-07,-4.8044800659161546e-05,2.1593674406649605e-19,4.022913131137338e-18,7.560225826229812e-17,1.4392141607086282e-15,1.7136183938152667e-14,-1.5848458678373114e-10,-1.9851284960263142e-06,-7.206817950865478e-05,2.0282854728873758e-19,3.7090790136753714e-18,6.803083011435194e-17,1.2516410880782963e-15,1.7133435167306668e-14,-6.87936657979102e-11,-5.716402702882443e-07,-7.206452256506912e-05,1.3952234514276716e-19,2.4042421319434203e-18,4.08129149533052e-17,6.755883959069438e-16,9.457609784993126e-15,-7.624530008335712e-12,-1.0148554597906524e-09,-5.358756916863882e-09,7.037834332426808e-20,1.0976691395524314e-18,1.636469720376904e-17,2.27332742752628e-16,2.73862457491581e-15,1.8183513245226434e-14,-7.450209689687238e-15,-9.200284155051389e-14,2.579989070414889e-20,3.491204812797159e-19,4.291703237747938e-18,4.500262811869186e-17,3.3788833959485677e-16,6.975883317963085e-16,-3.270009068104596e-16,-1.2857309502362997e-15,circle_no_blur_small.png,185.11933971385727,0.0
0,8,0,0,0,0,3.8875565742002764e-21,6.024715631785268e-20,8.894484519437054e-19,1.2209269256663698e-17,1.4666526463451637e-16,9.38126119915557e-16,-4.527970919544658e-16,-5.7153938158393615e-15,9.520667484418378e-21,1.6296200418216348e-19,2.742181602805281e-18,4.4931406570511385e-17,6.292906308293361e-16,-3.8155215109320885e-13,-6.695773673951805e-11,-3.5712477658810486e-10,1.6793579342752224e-20,3.057714036488254e-19,5.570919102973334e-18,1.0136256234975707e-16,1.366295393020306e-15,-4.777704205448711e-12,-2.872718664648826e-08,-4.8044800659161546e-06,2.1593674406649606e-20,4.0229131311373385e-19,7.560225826229813e-18,1.4392141607086282e-16,1.7136183938152667e-15,-1.5848458678373115e-11,-1.9851284960263144e-07,-7.206817950865478e-06,2.028285472887376e-20,3.709079013675372e-19,6.803083011435194e-18,1.2516410880782964e-16,1.7133435167306669e-15,-6.8793665797910205e-12,-5.716402702882443e-08,-7.206452256506912e-06,1.3952234514276716e-20,2.4042421319434202e-19,4.08129149533052e-18,6.755883959069439e-17,9.457609784993127e-16,-7.624530008335712e-13,-1.0148554597906524e-10,-5.358756916863883e-10,7.037834332426808e-21,1.0976691395524315e-19,1.6364697203769041e-18,2.2733274275262803e-17,2.73862457491581e-16,1.8183513245226435e-15,-7.450209689687239e-16,-9.20028415505139e-15,2.5799890704148893e-21,3.4912048127971595e-20,4.2917032377479386e-19,4.500262811869187e-18,3.378883395948568e-17,6.975883317963086e-17,-3.270009068104596e-17,-1.2857309502362998e-16,circle_no_blur_small.png,185.11933971385727,0.0
0,9,0,0,0,0,3.887556574200277e-22,6.024715631785269e-21,8.894484519437055e-20,1.2209269256663698e-18,1.4666526463451638e-17,9.38126119915557e-17,-4.527970919544658e-17,-5.715393815839362e-16,9.520667484418378e-22,1.6296200418216348e-20,2.742181602805281e-19,4.493140657051139e-18,6.292906308293361e-17,-3.815521510932089e-14,-6.695773673951805e-12,-3.571247765881049e-11,1.6793579342752225e-21,3.057714036488254e-20,5.570919102973335e-19,1.0136256234975707e-17,1.366295393020306e-16,-4.777704205448711e-13,-2.8727186646488264e-09,-4.804480065916155e-07,2.1593674406649607e-21,4.022913131137339e-20,7.560225826229813e-19,1.4392141607086284e-17,1.713618393815267e-16,-1.5848458678373115e-12,-1.9851284960263145e-08,-7.206817950865479e-07,2.0282854728873763e-21,3.709079013675372e-20,6.803083011435194e-19,1.2516410880782964e-17,1.713343516730667e-16,-6.879366579791021e-13,-5.716402702882444e-09,-7.206452256506912e-07,1.3952234514276717e-21,2.4042421319434204e-20,4.0812914953305204e-19,6.7558839590694386e-18,9.457609784993127e-17,-7.624530008335713e-14,-1.0148554597906525e-11,-5.358756916863883e-11,7.037834332426809e-22,1.0976691395524316e-20,1.6364697203769042e-19,2.2733274275262806e-18,2.73862457491581e-17,1.8183513245226435e-16,-7.45020968968724e-17,-9.20028415505139e-16,2.5799890704148896e-22,3.49120481279716e-21,4.291703237747939e-20,4.500262811869187e-19,3.378883395948568e-18,6.975883317963086e-18,-3.2700090681045966e-18,-1.2857309502362998e-17,circle_no_blur_small.png,185.11933971385727,0.0
