id,frame,big/small,dynamic/static,press/tap,dangeours/safe,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,shape,pressure
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hand.png,12.179234821916745
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hand.png,12.179234821916745
1,0,1,1,1,0,8.554217701074508,8.553602179023704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,1,1,1,1,0,8.554217701074508,8.554217701074508,0,0,0,0,0,0,0.23482166238243746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,2,1,1,1,0,8.554217701074508,8.554217701074508,0.041932439711149544,0,0,0,0,0,4.298913719187052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,3,1,1,1,0,8.554217701074508,8.554217701074508,3.820367814914271,0,0,0,0,0,6.808289403963671,0.4998346813569026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,4,1,1,1,0,8.554217701074508,8.554217701074508,6.426050210413228,0,0,0,0,0,8.5532944179983,5.135111078473083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,5,1,1,1,0,8.554217701074508,8.554217701074508,8.535136517499527,0,0,0,0,0,8.554217701074508,8.272924123856226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,6,1,1,1,0,8.554217701074508,8.554217701074508,8.554217701074508,0,0,0,0,0,8.554217701074508,8.554217701074508,0.8051028424540713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,7,1,1,1,0,8.554217701074508,8.554217701074508,8.554217701074508,0,0,0,0,0,8.554217701074508,8.554217701074508,5.398102738815318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,8,1,1,1,0,8.554217701074508,8.554217701074508,8.554217701074508,0,0,0,0,0,8.554217701074508,8.554217701074508,8.463428198580642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,9,1,1,1,0,8.554217701074508,8.554217701074508,8.554217701074508,1.3831253960108403,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,10,1,1,1,0,8.554217701074508,8.554217701074508,8.554217701074508,4.851654346511716,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,1.0499882903671847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,11,1,1,1,0,8.554217701074508,8.554217701074508,8.554217701074508,5.719249317083106,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,5.433690344952196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,12,1,1,1,0,8.554217701074508,8.554217701074508,8.554217701074508,7.244079015934225,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,8.456965217047182,0,0,0,0,0,0.8051028424540713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,13,1,1,1,0,8.554217701074508,8.554217701074508,8.554217701074508,8.209525352623224,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,8.554217701074508,0,0,0,0,0,3.9220808609828532,1.8736400708581877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,14,1,1,1,0,8.529904580067676,8.554217701074508,8.554217701074508,8.464967003707658,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,8.554217701074508,0,0,0,0,0.033545951768919634,5.869504055897979,5.815713767422487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,15,1,1,1,0,5.775934437156455,8.554217701074508,8.554217701074508,8.504360414959232,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,8.554217701074508,0.7803080085379132,0,0,0,0.033545951768919634,7.662941771507614,8.41203210733835,1.250784773098289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,16,1,1,1,0,0.7686398514008977,8.554217701074508,8.554217701074508,8.482201621130223,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,8.554217701074508,5.184975700170762,0,0,0,0.033545951768919634,8.489280124714488,8.554217701074508,5.868656955528974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,17,1,1,1,0,0,8.517286378026157,8.554217701074508,8.26676890334817,0,0,0,0,8.442500448853243,8.554217701074508,8.554217701074508,8.554217701074508,7.365029098917577,0,0,0,0.033545951768919634,8.552678895947494,8.554217701074508,8.516670855975349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,18,1,1,1,0,0,5.756412397564503,8.554217701074508,7.333021952275672,0,0,0,0,6.1629210128732055,8.554217701074508,8.554217701074508,8.554217701074508,8.554217701074508,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,0.20686670257500447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,19,1,1,1,0,0,1.314391382945851,8.008557403035109,6.3498204236636955,0,0,0,0,2.9336733535057573,8.554217701074508,8.554217701074508,8.554217701074508,8.554217701074508,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,4.8960725703711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
1,20,1,1,1,0,0,0,5.217622790985378,4.5193851688683395,0,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,8.554217701074508,0,0,0,0,8.554217701074508,8.554217701074508,8.554217701074508,8.349556619181556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle no blur.png,8.554217701074506
