id,frame,big/small,dynamic/static,press/tap,dangeours/safe,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,shape,pressure,velocity
0,0,1,1,1,0,5.0,5.0,2.8845116028062603,0.11404928944054685,0,0,0,0,1.764525993883792,1.6148587875517175,0.30581039755351686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,1,1,1,1,0,7.5,7.5,5.144900161899623,0.30437128980032374,0,0,0,0,3.1407627271091925,3.3643640942615582,0.8870300413743478,0.03218645948945616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,2,1,1,1,0,8.747481561431913,8.75,6.8917521136895115,0.6089224680697968,0,0,0,0,4.228053606763806,5.2139323619356,1.9227379025004498,0.08427774779636625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,3,1,1,1,0,9.261130599028602,9.375,8.119738262277387,1.0481201654973913,0.0196078431372549,0,0,0,5.025521676560533,6.93058553696708,3.4835851771901423,0.2767134376686454,0,0,0,0,0.0196078431372549,0.020761245674740487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,4,1,1,1,0,8.970374617737004,9.6875,8.882858877495952,1.6064490016189965,0.02178649237472767,0,0,0,5.4956714337111,8.247987497751394,5.417453678719194,0.7082433890987587,0.0196078431372549,0,0,0,0.022202998846597464,0.04943679599499374,0.02941176470588234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,5,1,1,1,0,7.8194200845475805,9.84375,9.332956691851052,2.2342372728908075,0.032382650029708845,0,0,0,5.635225535168196,9.079741185465013,7.2982213527612885,1.5318515020687176,0.026470588235294114,0,0,0,0.032265144863915705,0.12349343407087604,0.0694598594154643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,6,1,1,1,0,6.116401893326138,9.91773756520957,9.627262659651015,2.850164148228098,0.06392557022809124,0,0,0,5.426895012592193,9.53051639233675,8.610254767044433,2.844357123583378,0.0715056664867782,0,0,0,0.045547385620915024,0.25674581759309234,0.1999910055765426,0.02642796248934355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,7,1,1,1,0,4.311843688163338,9.535591214696886,9.724046872189245,3.3545657942075913,0.10932721712538228,0,0,0,4.9129438185824785,9.759681653624751,9.305127383522215,4.576342979852492,0.2156413023925167,0,0,0,0.06448476129582269,0.45523025724051086,0.4858562691131499,0.07621161672216056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,8,1,1,1,0,2.757648773385501,8.16462957029142,9.287459665632309,3.6699074698686815,0.17482910595430834,0,0,0,4.152820173367512,9.869047518663432,9.65256369176111,6.4346007038136355,0.5240825688073395,0,0,0,0.07715234151913193,0.7237475265335491,1.0061949091563231,0.2604785033279367,0.019607843137254895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,9,1,1,1,0,1.6231129277972658,6.3208468952374535,8.274059028714696,3.748787158211909,0.24211863644540385,0,0,0,3.2629544291914017,9.879118110833783,9.826281845880551,7.997296754137436,1.0765762727109194,0.0196078431372549,0,0,0.08798849400871461,1.0369951879834503,1.8177223871199852,0.6886130599028603,0.028143021914648205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,10,1,1,1,0,0.8896280595093542,4.430795816749865,6.917385693526264,3.5725407278737182,0.2991489026803382,0,0,0,2.36973949198372,9.68645597932407,9.91314092294028,8.976701983832523,1.921990241050549,0.024361259655377304,0,0,0.09018174356898724,1.3596560757330456,2.892851119805721,1.4943335132218027,0.11225040474905558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,11,1,1,1,0,0.4642419844227828,2.8340343537787827,5.363711735052393,3.1840037692255803,0.33935678629249866,0,0,0,1.5941160133061252,9.087336642297402,9.956570461470141,9.488350991916262,3.0410454892966365,0.05386885937170567,0,0,0.08448644652815256,1.6271207164058281,4.130721296546141,2.7734304731066746,0.3628350422737903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
0,12,1,1,1,0,0.23230088068054056,1.6688610336981697,3.8239677581540072,2.6412913251596515,0.34632886985069256,0,0,0,0.9922369956798659,7.962988342735316,9.978285230735068,9.74417549595813,4.318148216855549,0.12965461413923365,0,0,0.06868682822899802,1.797730172917791,5.37261015357978,4.481696348264076,0.9171613599568268,0.02483660130718955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circle blur.png,5,7.0710678118654755
